image,label_file,decision
american_black_bear_133.jpg,american_black_bear_133.txt,MANUAL_REVIEW_REQUIRED
bighorn_sheep_113.jpg,bighorn_sheep_113.txt,MANUAL_REVIEW_REQUIRED
bighorn_sheep_126.jpg,bighorn_sheep_126.txt,MANUAL_REVIEW_REQUIRED
bighorn_sheep_127.jpg,bighorn_sheep_127.txt,MANUAL_REVIEW_REQUIRED
bighorn_sheep_14.jpg,bighorn_sheep_14.txt,MANUAL_REVIEW_REQUIRED
bighorn_sheep_143.jpg,bighorn_sheep_143.txt,MANUAL_REVIEW_REQUIRED
bighorn_sheep_147.jpg,bighorn_sheep_147.txt,MANUAL_REVIEW_REQUIRED
bighorn_sheep_161.jpg,bighorn_sheep_161.txt,MANUAL_REVIEW_REQUIRED
bighorn_sheep_222.jpg,bighorn_sheep_222.txt,MANUAL_REVIEW_REQUIRED
bighorn_sheep_231.jpg,bighorn_sheep_231.txt,MANUAL_REVIEW_REQUIRED
bighorn_sheep_232.jpg,bighorn_sheep_232.txt,MANUAL_REVIEW_REQUIRED
bighorn_sheep_26.jpg,bighorn_sheep_26.txt,MANUAL_REVIEW_REQUIRED
bighorn_sheep_41.jpg,bighorn_sheep_41.txt,MANUAL_REVIEW_REQUIRED
california_vole_10.jpg,california_vole_10.txt,MANUAL_REVIEW_REQUIRED
california_vole_103.jpg,california_vole_103.txt,MANUAL_REVIEW_REQUIRED
california_vole_153.jpg,california_vole_153.txt,MANUAL_REVIEW_REQUIRED
california_vole_195.jpg,california_vole_195.txt,MANUAL_REVIEW_REQUIRED
california_vole_215.jpg,california_vole_215.txt,MANUAL_REVIEW_REQUIRED
california_vole_231.jpg,california_vole_231.txt,MANUAL_REVIEW_REQUIRED
california_vole_247.jpg,california_vole_247.txt,MANUAL_REVIEW_REQUIRED
california_vole_26.jpg,california_vole_26.txt,MANUAL_REVIEW_REQUIRED
california_vole_262.jpg,california_vole_262.txt,MANUAL_REVIEW_REQUIRED
california_vole_287.jpg,california_vole_287.txt,MANUAL_REVIEW_REQUIRED
california_vole_33.jpg,california_vole_33.txt,MANUAL_REVIEW_REQUIRED
california_vole_62.jpg,california_vole_62.txt,MANUAL_REVIEW_REQUIRED
california_vole_67.jpg,california_vole_67.txt,MANUAL_REVIEW_REQUIRED
california_vole_84.jpg,california_vole_84.txt,MANUAL_REVIEW_REQUIRED
Deer_320.jpg,Deer_320.txt,MANUAL_REVIEW_REQUIRED
Deer_331.jpg,Deer_331.txt,MANUAL_REVIEW_REQUIRED
Deer_384.jpg,Deer_384.txt,MANUAL_REVIEW_REQUIRED
Deer_48.jpg,Deer_48.txt,MANUAL_REVIEW_REQUIRED
Deer_60.jpg,Deer_60.txt,MANUAL_REVIEW_REQUIRED
Fox_105.jpg,Fox_105.txt,MANUAL_REVIEW_REQUIRED
Fox_190.jpg,Fox_190.txt,MANUAL_REVIEW_REQUIRED
Fox_211.jpg,Fox_211.txt,MANUAL_REVIEW_REQUIRED
Fox_215.jpg,Fox_215.txt,MANUAL_REVIEW_REQUIRED
Fox_37.jpg,Fox_37.txt,MANUAL_REVIEW_REQUIRED
Fox_60.jpg,Fox_60.txt,MANUAL_REVIEW_REQUIRED
Fox_71.jpg,Fox_71.txt,MANUAL_REVIEW_REQUIRED
gray_wolf_116.jpg,gray_wolf_116.txt,MANUAL_REVIEW_REQUIRED
gray_wolf_117.jpg,gray_wolf_117.txt,MANUAL_REVIEW_REQUIRED
gray_wolf_136.jpg,gray_wolf_136.txt,MANUAL_REVIEW_REQUIRED
great_horned_owl_110.jpg,great_horned_owl_110.txt,MANUAL_REVIEW_REQUIRED
great_horned_owl_112.jpg,great_horned_owl_112.txt,MANUAL_REVIEW_REQUIRED
great_horned_owl_125.jpg,great_horned_owl_125.txt,MANUAL_REVIEW_REQUIRED
great_horned_owl_131.jpg,great_horned_owl_131.txt,MANUAL_REVIEW_REQUIRED
great_horned_owl_14.jpg,great_horned_owl_14.txt,MANUAL_REVIEW_REQUIRED
great_horned_owl_148.jpg,great_horned_owl_148.txt,MANUAL_REVIEW_REQUIRED
great_horned_owl_165.jpg,great_horned_owl_165.txt,MANUAL_REVIEW_REQUIRED
great_horned_owl_189.jpg,great_horned_owl_189.txt,MANUAL_REVIEW_REQUIRED
