image,expected_class,label_file,current_label,review_status
american_black_bear_103.jpg,american_black_bear,american_black_bear_103.txt,EMPTY,PENDING
american_black_bear_106.jpg,american_black_bear,american_black_bear_106.txt,EMPTY,PENDING
american_black_bear_120.jpg,american_black_bear,american_black_bear_120.txt,EMPTY,PENDING
american_black_bear_127.jpg,american_black_bear,american_black_bear_127.txt,EMPTY,PENDING
american_black_bear_130.jpg,american_black_bear,american_black_bear_130.txt,EMPTY,PENDING
american_black_bear_133.jpg,american_black_bear,american_black_bear_133.txt,EMPTY,PENDING
american_black_bear_137.jpg,american_black_bear,american_black_bear_137.txt,EMPTY,PENDING
american_black_bear_139.jpg,american_black_bear,american_black_bear_139.txt,EMPTY,PENDING
american_black_bear_142.jpg,american_black_bear,american_black_bear_142.txt,EMPTY,PENDING
american_black_bear_144.jpg,american_black_bear,american_black_bear_144.txt,EMPTY,PENDING
american_black_bear_169.jpg,american_black_bear,american_black_bear_169.txt,EMPTY,PENDING
american_black_bear_171.jpg,american_black_bear,american_black_bear_171.txt,EMPTY,PENDING
american_black_bear_178.jpg,american_black_bear,american_black_bear_178.txt,EMPTY,PENDING
american_black_bear_196.jpg,american_black_bear,american_black_bear_196.txt,EMPTY,PENDING
american_black_bear_21.jpg,american_black_bear,american_black_bear_21.txt,EMPTY,PENDING
american_black_bear_214.jpg,american_black_bear,american_black_bear_214.txt,EMPTY,PENDING
american_black_bear_217.jpg,american_black_bear,american_black_bear_217.txt,EMPTY,PENDING
american_black_bear_224.jpg,american_black_bear,american_black_bear_224.txt,EMPTY,PENDING
american_black_bear_227.jpg,american_black_bear,american_black_bear_227.txt,EMPTY,PENDING
american_black_bear_23.jpg,american_black_bear,american_black_bear_23.txt,EMPTY,PENDING
american_black_bear_231.jpg,american_black_bear,american_black_bear_231.txt,EMPTY,PENDING
american_black_bear_233.jpg,american_black_bear,american_black_bear_233.txt,EMPTY,PENDING
american_black_bear_25.jpg,american_black_bear,american_black_bear_25.txt,EMPTY,PENDING
american_black_bear_251.jpg,american_black_bear,american_black_bear_251.txt,EMPTY,PENDING
american_black_bear_262.jpg,american_black_bear,american_black_bear_262.txt,EMPTY,PENDING
american_black_bear_265.jpg,american_black_bear,american_black_bear_265.txt,EMPTY,PENDING
american_black_bear_271.jpg,american_black_bear,american_black_bear_271.txt,EMPTY,PENDING
american_black_bear_277.jpg,american_black_bear,american_black_bear_277.txt,EMPTY,PENDING
american_black_bear_282.jpg,american_black_bear,american_black_bear_282.txt,EMPTY,PENDING
american_black_bear_285.jpg,american_black_bear,american_black_bear_285.txt,EMPTY,PENDING
american_black_bear_287.jpg,american_black_bear,american_black_bear_287.txt,EMPTY,PENDING
american_black_bear_292.jpg,american_black_bear,american_black_bear_292.txt,EMPTY,PENDING
american_black_bear_294.jpg,american_black_bear,american_black_bear_294.txt,EMPTY,PENDING
american_black_bear_296.jpg,american_black_bear,american_black_bear_296.txt,EMPTY,PENDING
american_black_bear_32.jpg,american_black_bear,american_black_bear_32.txt,EMPTY,PENDING
american_black_bear_34.jpg,american_black_bear,american_black_bear_34.txt,EMPTY,PENDING
american_black_bear_40.jpg,american_black_bear,american_black_bear_40.txt,EMPTY,PENDING
american_black_bear_5.jpg,american_black_bear,american_black_bear_5.txt,EMPTY,PENDING
american_black_bear_50.jpg,american_black_bear,american_black_bear_50.txt,EMPTY,PENDING
american_black_bear_54.jpg,american_black_bear,american_black_bear_54.txt,EMPTY,PENDING
american_black_bear_61.jpg,american_black_bear,american_black_bear_61.txt,EMPTY,PENDING
american_black_bear_62.jpg,american_black_bear,american_black_bear_62.txt,EMPTY,PENDING
american_black_bear_80.jpg,american_black_bear,american_black_bear_80.txt,EMPTY,PENDING
american_black_bear_85.jpg,american_black_bear,american_black_bear_85.txt,EMPTY,PENDING
american_black_bear_9.jpg,american_black_bear,american_black_bear_9.txt,EMPTY,PENDING
american_black_bear_90.jpg,american_black_bear,american_black_bear_90.txt,EMPTY,PENDING
bighorn_sheep_113.jpg,bighorn_sheep,bighorn_sheep_113.txt,EMPTY,PENDING
bighorn_sheep_123.jpg,bighorn_sheep,bighorn_sheep_123.txt,EMPTY,PENDING
bighorn_sheep_126.jpg,bighorn_sheep,bighorn_sheep_126.txt,EMPTY,PENDING
bighorn_sheep_127.jpg,bighorn_sheep,bighorn_sheep_127.txt,EMPTY,PENDING
bighorn_sheep_138.jpg,bighorn_sheep,bighorn_sheep_138.txt,EMPTY,PENDING
bighorn_sheep_14.jpg,bighorn_sheep,bighorn_sheep_14.txt,EMPTY,PENDING
bighorn_sheep_143.jpg,bighorn_sheep,bighorn_sheep_143.txt,EMPTY,PENDING
bighorn_sheep_147.jpg,bighorn_sheep,bighorn_sheep_147.txt,EMPTY,PENDING
bighorn_sheep_161.jpg,bighorn_sheep,bighorn_sheep_161.txt,EMPTY,PENDING
bighorn_sheep_170.jpg,bighorn_sheep,bighorn_sheep_170.txt,EMPTY,PENDING
bighorn_sheep_171.jpg,bighorn_sheep,bighorn_sheep_171.txt,EMPTY,PENDING
bighorn_sheep_173.jpg,bighorn_sheep,bighorn_sheep_173.txt,EMPTY,PENDING
bighorn_sheep_174.jpg,bighorn_sheep,bighorn_sheep_174.txt,EMPTY,PENDING
bighorn_sheep_202.jpg,bighorn_sheep,bighorn_sheep_202.txt,EMPTY,PENDING
