image,label_file,status
american_black_bear_103.jpg,american_black_bear_103.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_120.jpg,american_black_bear_120.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_127.jpg,american_black_bear_127.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_133.jpg,american_black_bear_133.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_137.jpg,american_black_bear_137.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_178.jpg,american_black_bear_178.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_196.jpg,american_black_bear_196.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_21.jpg,american_black_bear_21.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_217.jpg,american_black_bear_217.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_233.jpg,american_black_bear_233.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_25.jpg,american_black_bear_25.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_262.jpg,american_black_bear_262.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_265.jpg,american_black_bear_265.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_282.jpg,american_black_bear_282.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_287.jpg,american_black_bear_287.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_292.jpg,american_black_bear_292.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_294.jpg,american_black_bear_294.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_296.jpg,american_black_bear_296.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_32.jpg,american_black_bear_32.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_34.jpg,american_black_bear_34.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_40.jpg,american_black_bear_40.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_50.jpg,american_black_bear_50.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_54.jpg,american_black_bear_54.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_61.jpg,american_black_bear_61.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_80.jpg,american_black_bear_80.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_85.jpg,american_black_bear_85.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_9.jpg,american_black_bear_9.txt,NEEDS_MANUAL_ANNOTATION
american_black_bear_90.jpg,american_black_bear_90.txt,NEEDS_MANUAL_ANNOTATION
bighorn_sheep_113.jpg,bighorn_sheep_113.txt,NEEDS_MANUAL_ANNOTATION
bighorn_sheep_126.jpg,bighorn_sheep_126.txt,NEEDS_MANUAL_ANNOTATION
bighorn_sheep_127.jpg,bighorn_sheep_127.txt,NEEDS_MANUAL_ANNOTATION
bighorn_sheep_138.jpg,bighorn_sheep_138.txt,NEEDS_MANUAL_ANNOTATION
bighorn_sheep_14.jpg,bighorn_sheep_14.txt,NEEDS_MANUAL_ANNOTATION
bighorn_sheep_143.jpg,bighorn_sheep_143.txt,NEEDS_MANUAL_ANNOTATION
bighorn_sheep_147.jpg,bighorn_sheep_147.txt,NEEDS_MANUAL_ANNOTATION
bighorn_sheep_161.jpg,bighorn_sheep_161.txt,NEEDS_MANUAL_ANNOTATION
bighorn_sheep_202.jpg,bighorn_sheep_202.txt,NEEDS_MANUAL_ANNOTATION
